group,track_id,reversal_count,transition_sequence
pg2_4,6,1,pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_el -> pg_im -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el
pg2_6,6,1,pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_el -> pg_im -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el
pg2_7,1,1,pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_el -> pg_im -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el
pg2_8,5,1,pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_el -> pg_im -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el
pg2_8,6,1,pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_el -> pg_im -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el
pg2_9,5,1,pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_el -> pg_im -> pg_im -> pg_im -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el
pg2_9,6,1,pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_el -> pg_im -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el
pg3_1,1,1,pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_el -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el
pg3_2,3,1,pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_el -> pg_im -> pg_im -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el
pg3_7,7,1,pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_im -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el
pg3_9,2,1,pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_el -> pg_im -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el
pg4_1,6,1,pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_el -> pg_im -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el
pg4_10,1,1,pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_im -> pg_el -> pg_im -> pg_im -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el -> pg_el
