group,track_id,initial_class,final_class,germination_target,final_label,pg_el_observed,first_pg_el_frame,last_pg_el_frame,pg_el_count,pg_im_count,total_frames,transition_count
pg1_2,4,pg_im,pg_el,1,GERMINATED,True,53.0,97.0,45,52,97,1
pg1_2,5,pg_im,pg_el,1,GERMINATED,True,24.0,97.0,74,23,97,1
pg1_2,6,pg_im,pg_el,1,GERMINATED,True,25.0,97.0,73,24,97,1
pg1_2,7,pg_im,pg_el,1,GERMINATED,True,21.0,97.0,77,20,97,1
pg1_2,8,pg_im,pg_el,1,GERMINATED,True,54.0,97.0,44,53,97,1
pg1_2,9,pg_im,pg_el,1,GERMINATED,True,15.0,97.0,83,14,97,1
pg1_3,0,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg1_3,1,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg1_3,2,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg1_3,3,pg_im,pg_el,1,GERMINATED,True,29.0,97.0,69,28,97,1
pg1_3,4,pg_im,pg_el,1,GERMINATED,True,31.0,97.0,67,30,97,1
pg1_3,5,pg_im,pg_el,1,GERMINATED,True,34.0,97.0,64,33,97,1
pg1_3,6,pg_im,pg_el,1,GERMINATED,True,27.0,97.0,71,26,97,1
pg1_3,7,pg_im,pg_el,1,GERMINATED,True,18.0,97.0,80,17,97,1
pg1_3,8,pg_im,pg_el,1,GERMINATED,True,21.0,97.0,77,20,97,1
pg1_3,9,pg_im,pg_el,1,GERMINATED,True,12.0,97.0,86,11,97,1
pg1_4,0,pg_im,pg_el,1,GERMINATED,True,28.0,97.0,70,27,97,1
pg1_4,1,pg_im,pg_el,1,GERMINATED,True,38.0,97.0,60,37,97,1
pg1_4,2,pg_im,pg_el,1,GERMINATED,True,35.0,97.0,62,35,97,3
pg1_4,3,pg_im,pg_el,1,GERMINATED,True,29.0,97.0,69,28,97,1
pg1_4,4,pg_im,pg_el,1,GERMINATED,True,31.0,97.0,67,30,97,1
pg1_4,5,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg1_4,6,pg_im,pg_el,1,GERMINATED,True,85.0,97.0,13,84,97,1
pg1_4,7,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg1_4,8,pg_im,pg_el,1,GERMINATED,True,26.0,97.0,72,25,97,1
pg1_4,9,pg_im,pg_el,1,GERMINATED,True,36.0,97.0,62,35,97,1
pg1_5,0,pg_im,pg_el,1,GERMINATED,True,26.0,97.0,72,25,97,1
pg1_5,1,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg1_5,2,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg1_5,3,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg1_5,4,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg1_5,5,pg_im,pg_el,1,GERMINATED,True,24.0,97.0,74,23,97,1
pg1_5,6,pg_im,pg_el,1,GERMINATED,True,26.0,97.0,72,25,97,1
pg1_5,7,pg_im,pg_el,1,GERMINATED,True,27.0,97.0,71,26,97,1
pg1_5,8,pg_im,pg_el,1,GERMINATED,True,26.0,97.0,72,25,97,1
pg1_5,9,pg_im,pg_el,1,GERMINATED,True,25.0,97.0,73,24,97,1
pg1_6,0,pg_im,pg_el,1,GERMINATED,True,13.0,97.0,85,12,97,1
pg1_6,1,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg1_6,2,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg1_6,3,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg1_6,4,pg_im,pg_el,1,GERMINATED,True,15.0,97.0,83,14,97,1
pg1_6,5,pg_im,pg_el,1,GERMINATED,True,11.0,97.0,87,10,97,1
pg1_6,6,pg_im,pg_el,1,GERMINATED,True,11.0,97.0,87,10,97,1
pg1_6,7,pg_im,pg_el,1,GERMINATED,True,14.0,97.0,84,13,97,1
pg1_6,8,pg_im,pg_el,1,GERMINATED,True,31.0,97.0,67,30,97,1
pg1_6,9,pg_im,pg_el,1,GERMINATED,True,13.0,97.0,85,12,97,1
pg1_7,0,pg_im,pg_el,1,GERMINATED,True,29.0,97.0,69,28,97,1
pg1_7,1,pg_im,pg_el,1,GERMINATED,True,25.0,97.0,73,24,97,1
pg1_7,2,pg_im,pg_el,1,GERMINATED,True,75.0,97.0,23,74,97,1
pg1_7,3,pg_im,pg_el,1,GERMINATED,True,24.0,97.0,74,23,97,1
pg1_7,4,pg_im,pg_el,1,GERMINATED,True,26.0,97.0,72,25,97,1
pg1_7,5,pg_im,pg_el,1,GERMINATED,True,28.0,97.0,70,27,97,1
pg1_7,6,pg_im,pg_el,1,GERMINATED,True,48.0,97.0,50,47,97,1
pg1_7,7,pg_im,pg_el,1,GERMINATED,True,20.0,97.0,78,19,97,1
pg1_7,8,pg_im,pg_el,1,GERMINATED,True,23.0,97.0,75,22,97,1
pg1_7,9,pg_im,pg_el,1,GERMINATED,True,26.0,97.0,72,25,97,1
pg1_8,0,pg_im,pg_el,1,GERMINATED,True,26.0,97.0,72,25,97,1
pg1_8,1,pg_im,pg_el,1,GERMINATED,True,36.0,97.0,61,36,97,3
pg1_8,2,pg_im,pg_el,1,GERMINATED,True,27.0,97.0,71,26,97,1
pg1_8,3,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg1_8,4,pg_im,pg_el,1,GERMINATED,True,27.0,97.0,71,26,97,1
pg1_8,5,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg1_8,6,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg1_8,7,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg1_8,8,pg_im,pg_el,1,GERMINATED,True,28.0,97.0,70,27,97,1
pg1_8,9,pg_im,pg_el,1,GERMINATED,True,12.0,97.0,83,14,97,5
pg1_9,0,pg_im,pg_el,1,GERMINATED,True,13.0,97.0,85,12,97,1
pg1_9,1,pg_im,pg_el,1,GERMINATED,True,41.0,97.0,57,40,97,1
pg1_9,2,pg_im,pg_el,1,GERMINATED,True,64.0,97.0,34,63,97,1
pg1_9,3,pg_im,pg_el,1,GERMINATED,True,45.0,97.0,52,45,97,3
pg1_9,4,pg_im,pg_el,1,GERMINATED,True,42.0,97.0,56,41,97,1
pg1_9,5,pg_im,pg_el,1,GERMINATED,True,30.0,97.0,68,29,97,1
pg1_9,6,pg_im,pg_el,1,GERMINATED,True,27.0,97.0,71,26,97,1
pg1_9,7,pg_im,pg_el,1,GERMINATED,True,23.0,97.0,75,22,97,1
pg1_9,8,pg_im,pg_el,1,GERMINATED,True,33.0,97.0,65,32,97,1
pg1_9,9,pg_im,pg_el,1,GERMINATED,True,41.0,97.0,57,40,97,1
pg2_1,0,pg_im,pg_el,1,GERMINATED,True,26.0,97.0,72,25,97,1
pg2_1,1,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg2_1,2,pg_im,pg_el,1,GERMINATED,True,33.0,97.0,65,32,97,1
pg2_1,3,pg_im,pg_el,1,GERMINATED,True,26.0,97.0,70,27,97,3
pg2_1,4,pg_im,pg_el,1,GERMINATED,True,65.0,97.0,33,64,97,1
pg2_1,5,pg_im,pg_el,1,GERMINATED,True,62.0,97.0,36,61,97,1
pg2_1,6,pg_im,pg_el,1,GERMINATED,True,14.0,97.0,83,14,97,3
pg2_1,7,pg_im,pg_el,1,GERMINATED,True,18.0,97.0,80,17,97,1
pg2_1,8,pg_im,pg_el,1,GERMINATED,True,34.0,97.0,64,33,97,1
pg2_1,9,pg_im,pg_el,1,GERMINATED,True,31.0,97.0,67,30,97,1
pg2_10,0,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg2_10,1,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg2_10,2,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg2_10,3,pg_im,pg_el,1,GERMINATED,True,21.0,97.0,77,20,97,1
pg2_10,4,pg_im,pg_el,1,GERMINATED,True,18.0,97.0,80,17,97,1
pg2_10,5,pg_im,pg_el,1,GERMINATED,True,19.0,97.0,79,18,97,1
pg2_10,6,pg_im,pg_el,1,GERMINATED,True,19.0,97.0,79,18,97,1
pg2_10,7,pg_im,pg_el,1,GERMINATED,True,51.0,97.0,47,50,97,1
pg2_10,8,pg_im,pg_el,1,GERMINATED,True,18.0,97.0,80,17,97,1
pg2_10,9,pg_im,pg_el,1,GERMINATED,True,16.0,97.0,82,15,97,1
pg2_11,0,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg2_11,1,pg_im,pg_el,1,GERMINATED,True,20.0,97.0,78,19,97,1
pg2_11,2,pg_im,pg_el,1,GERMINATED,True,15.0,97.0,83,14,97,1
pg2_11,3,pg_im,pg_el,1,GERMINATED,True,66.0,97.0,31,66,97,3
pg2_11,4,pg_im,pg_el,1,GERMINATED,True,20.0,97.0,78,19,97,1
pg2_11,5,pg_im,pg_el,1,GERMINATED,True,39.0,97.0,59,38,97,1
pg2_11,6,pg_im,pg_el,1,GERMINATED,True,21.0,97.0,77,20,97,1
pg2_11,7,pg_im,pg_el,1,GERMINATED,True,19.0,97.0,79,18,97,1
pg2_11,8,pg_im,pg_el,1,GERMINATED,True,18.0,97.0,79,18,97,3
pg2_11,9,pg_im,pg_el,1,GERMINATED,True,25.0,97.0,73,24,97,1
pg2_12,0,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg2_12,1,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg2_12,2,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg2_12,3,pg_im,pg_el,1,GERMINATED,True,30.0,97.0,68,29,97,1
pg2_12,4,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg2_12,5,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg2_12,6,pg_im,pg_el,1,GERMINATED,True,25.0,97.0,73,24,97,1
pg2_12,7,pg_im,pg_el,1,GERMINATED,True,28.0,97.0,70,27,97,1
pg2_12,8,pg_im,pg_el,1,GERMINATED,True,23.0,97.0,75,22,97,1
pg2_12,9,pg_im,pg_el,1,GERMINATED,True,31.0,97.0,67,30,97,1
pg2_2,0,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg2_2,1,pg_im,pg_el,1,GERMINATED,True,41.0,97.0,56,41,97,3
pg2_2,2,pg_im,pg_el,1,GERMINATED,True,29.0,97.0,69,28,97,1
pg2_2,3,pg_im,pg_el,1,GERMINATED,True,24.0,97.0,74,23,97,1
pg2_2,4,pg_im,pg_el,1,GERMINATED,True,19.0,97.0,79,18,97,1
pg2_2,5,pg_im,pg_el,1,GERMINATED,True,19.0,97.0,79,18,97,1
pg2_2,6,pg_im,pg_el,1,GERMINATED,True,28.0,97.0,70,27,97,1
pg2_2,7,pg_im,pg_el,1,GERMINATED,True,37.0,97.0,61,36,97,1
pg2_2,8,pg_im,pg_el,1,GERMINATED,True,36.0,97.0,62,35,97,1
pg2_2,9,pg_im,pg_el,1,GERMINATED,True,17.0,97.0,81,16,97,1
pg2_3,0,pg_im,pg_el,1,GERMINATED,True,38.0,97.0,60,37,97,1
pg2_3,1,pg_im,pg_el,1,GERMINATED,True,39.0,97.0,59,38,97,1
pg2_3,2,pg_im,pg_el,1,GERMINATED,True,28.0,97.0,70,27,97,1
pg2_3,3,pg_im,pg_el,1,GERMINATED,True,28.0,97.0,70,27,97,1
pg2_3,4,pg_im,pg_el,1,GERMINATED,True,19.0,97.0,79,18,97,1
pg2_3,5,pg_im,pg_el,1,GERMINATED,True,33.0,97.0,65,32,97,1
pg2_3,6,pg_im,pg_el,1,GERMINATED,True,57.0,97.0,41,56,97,1
pg2_3,7,pg_im,pg_el,1,GERMINATED,True,59.0,97.0,39,58,97,1
pg2_3,8,pg_im,pg_el,1,GERMINATED,True,19.0,97.0,79,18,97,1
pg2_3,9,pg_im,pg_el,1,GERMINATED,True,30.0,97.0,68,29,97,1
pg2_4,0,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg2_4,1,pg_im,pg_el,1,GERMINATED,True,20.0,97.0,78,19,97,1
pg2_4,2,pg_im,pg_el,1,GERMINATED,True,65.0,97.0,33,64,97,1
pg2_4,3,pg_im,pg_el,1,GERMINATED,True,33.0,97.0,65,32,97,1
pg2_4,4,pg_im,pg_el,1,GERMINATED,True,48.0,97.0,50,47,97,1
pg2_4,5,pg_im,pg_el,1,GERMINATED,True,29.0,97.0,69,28,97,1
pg2_4,6,pg_im,pg_el,1,GERMINATED,True,21.0,97.0,76,21,97,3
pg2_4,7,pg_im,pg_el,1,GERMINATED,True,15.0,97.0,83,14,97,1
pg2_4,8,pg_im,pg_el,1,GERMINATED,True,38.0,97.0,60,37,97,1
pg2_4,9,pg_im,pg_el,1,GERMINATED,True,15.0,97.0,83,14,97,1
pg2_5,0,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg2_5,1,pg_im,pg_el,1,GERMINATED,True,34.0,97.0,64,33,97,1
pg2_5,2,pg_im,pg_el,1,GERMINATED,True,26.0,97.0,72,25,97,1
pg2_5,3,pg_im,pg_el,1,GERMINATED,True,29.0,97.0,69,28,97,1
pg2_5,4,pg_im,pg_el,1,GERMINATED,True,25.0,97.0,73,24,97,1
pg2_5,5,pg_im,pg_el,1,GERMINATED,True,37.0,97.0,61,36,97,1
pg2_5,6,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg2_5,7,pg_im,pg_el,1,GERMINATED,True,31.0,97.0,67,30,97,1
pg2_5,8,pg_im,pg_el,1,GERMINATED,True,24.0,97.0,74,23,97,1
pg2_5,9,pg_im,pg_el,1,GERMINATED,True,21.0,97.0,77,20,97,1
pg2_6,0,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg2_6,1,pg_im,pg_el,1,GERMINATED,True,25.0,97.0,73,24,97,1
pg2_6,2,pg_im,pg_el,1,GERMINATED,True,29.0,97.0,69,28,97,1
pg2_6,3,pg_im,pg_el,1,GERMINATED,True,41.0,97.0,57,40,97,1
pg2_6,4,pg_im,pg_el,1,GERMINATED,True,81.0,97.0,17,80,97,1
pg2_6,5,pg_im,pg_el,1,GERMINATED,True,32.0,97.0,66,31,97,1
pg2_6,6,pg_im,pg_el,1,GERMINATED,True,27.0,97.0,70,27,97,3
pg2_6,7,pg_im,pg_el,1,GERMINATED,True,34.0,97.0,64,33,97,1
pg2_6,8,pg_im,pg_el,1,GERMINATED,True,50.0,97.0,48,49,97,1
pg2_6,9,pg_im,pg_el,1,GERMINATED,True,22.0,97.0,76,21,97,1
pg2_7,0,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg2_7,1,pg_im,pg_el,1,GERMINATED,True,80.0,97.0,17,80,97,3
pg2_7,2,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg2_7,3,pg_im,pg_el,1,GERMINATED,True,23.0,97.0,75,22,97,1
pg2_7,4,pg_im,pg_el,1,GERMINATED,True,14.0,97.0,84,13,97,1
pg2_7,5,pg_im,pg_el,1,GERMINATED,True,32.0,97.0,66,31,97,1
pg2_7,6,pg_im,pg_el,1,GERMINATED,True,28.0,97.0,70,27,97,1
pg2_7,7,pg_im,pg_el,1,GERMINATED,True,28.0,97.0,70,27,97,1
pg2_7,8,pg_im,pg_el,1,GERMINATED,True,28.0,97.0,70,27,97,1
pg2_7,9,pg_im,pg_el,1,GERMINATED,True,18.0,97.0,80,17,97,1
pg2_8,0,pg_im,pg_el,1,GERMINATED,True,16.0,97.0,82,15,97,1
pg2_8,1,pg_im,pg_el,1,GERMINATED,True,31.0,97.0,67,30,97,1
pg2_8,2,pg_im,pg_el,1,GERMINATED,True,37.0,97.0,61,36,97,1
pg2_8,3,pg_im,pg_el,1,GERMINATED,True,24.0,97.0,74,23,97,1
pg2_8,4,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg2_8,5,pg_im,pg_el,1,GERMINATED,True,18.0,97.0,79,18,97,3
pg2_8,6,pg_im,pg_el,1,GERMINATED,True,16.0,97.0,81,16,97,3
pg2_8,7,pg_im,pg_el,1,GERMINATED,True,40.0,97.0,58,39,97,1
pg2_8,8,pg_im,pg_el,1,GERMINATED,True,14.0,97.0,84,13,97,1
pg2_8,9,pg_im,pg_el,1,GERMINATED,True,34.0,97.0,64,33,97,1
pg2_9,0,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg2_9,1,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg2_9,2,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg2_9,3,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg2_9,4,pg_im,pg_el,1,GERMINATED,True,52.0,97.0,46,51,97,1
pg2_9,5,pg_im,pg_el,1,GERMINATED,True,36.0,97.0,59,38,97,3
pg2_9,6,pg_im,pg_el,1,GERMINATED,True,30.0,97.0,67,30,97,3
pg2_9,7,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg2_9,8,pg_im,pg_el,1,GERMINATED,True,17.0,97.0,81,16,97,1
pg2_9,9,pg_im,pg_el,1,GERMINATED,True,21.0,97.0,77,20,97,1
pg3_1,0,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg3_1,1,pg_im,pg_el,1,GERMINATED,True,31.0,97.0,62,35,97,3
pg3_1,2,pg_im,pg_el,1,GERMINATED,True,20.0,97.0,78,19,97,1
pg3_1,3,pg_im,pg_el,1,GERMINATED,True,34.0,97.0,64,33,97,1
pg3_1,4,pg_im,pg_el,1,GERMINATED,True,15.0,97.0,83,14,97,1
pg3_1,5,pg_im,pg_el,1,GERMINATED,True,25.0,97.0,73,24,97,1
pg3_1,6,pg_im,pg_el,1,GERMINATED,True,20.0,97.0,78,19,97,1
pg3_1,7,pg_im,pg_el,1,GERMINATED,True,20.0,97.0,78,19,97,1
pg3_1,8,pg_im,pg_el,1,GERMINATED,True,17.0,97.0,81,16,97,1
pg3_1,9,pg_im,pg_el,1,GERMINATED,True,36.0,97.0,62,35,97,1
pg3_10,0,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg3_10,1,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg3_10,2,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg3_10,3,pg_im,pg_el,1,GERMINATED,True,17.0,97.0,81,16,97,1
pg3_10,4,pg_im,pg_el,1,GERMINATED,True,17.0,97.0,81,16,97,1
pg3_10,5,pg_im,pg_el,1,GERMINATED,True,14.0,97.0,84,13,97,1
pg3_10,6,pg_im,pg_el,1,GERMINATED,True,56.0,97.0,42,55,97,1
pg3_10,7,pg_im,pg_el,1,GERMINATED,True,18.0,97.0,80,17,97,1
pg3_10,8,pg_im,pg_el,1,GERMINATED,True,16.0,97.0,82,15,97,1
pg3_10,9,pg_im,pg_el,1,GERMINATED,True,18.0,97.0,80,17,97,1
pg3_11,0,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg3_11,1,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg3_11,2,pg_im,pg_el,1,GERMINATED,True,23.0,97.0,75,22,97,1
pg3_11,3,pg_im,pg_el,1,GERMINATED,True,38.0,97.0,60,37,97,1
pg3_11,4,pg_im,pg_el,1,GERMINATED,True,27.0,97.0,71,26,97,1
pg3_11,5,pg_im,pg_el,1,GERMINATED,True,17.0,97.0,81,16,97,1
pg3_11,6,pg_im,pg_el,1,GERMINATED,True,20.0,97.0,78,19,97,1
pg3_11,7,pg_im,pg_el,1,GERMINATED,True,18.0,97.0,80,17,97,1
pg3_11,8,pg_im,pg_el,1,GERMINATED,True,11.0,97.0,87,10,97,1
pg3_11,9,pg_im,pg_el,1,GERMINATED,True,21.0,97.0,77,20,97,1
pg3_12,0,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg3_12,1,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg3_12,2,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg3_12,3,pg_im,pg_el,1,GERMINATED,True,24.0,97.0,74,23,97,1
pg3_12,4,pg_im,pg_el,1,GERMINATED,True,18.0,97.0,80,17,97,1
pg3_12,5,pg_im,pg_el,1,GERMINATED,True,31.0,97.0,67,30,97,1
pg3_12,6,pg_im,pg_el,1,GERMINATED,True,15.0,97.0,83,14,97,1
pg3_12,7,pg_im,pg_el,1,GERMINATED,True,16.0,97.0,82,15,97,1
pg3_12,8,pg_im,pg_el,1,GERMINATED,True,15.0,97.0,83,14,97,1
pg3_12,9,pg_im,pg_el,1,GERMINATED,True,22.0,97.0,76,21,97,1
pg3_2,0,pg_im,pg_el,1,GERMINATED,True,31.0,97.0,67,30,97,1
pg3_2,1,pg_im,pg_el,1,GERMINATED,True,83.0,97.0,15,82,97,1
pg3_2,2,pg_im,pg_el,1,GERMINATED,True,61.0,97.0,37,60,97,1
pg3_2,3,pg_im,pg_el,1,GERMINATED,True,30.0,97.0,66,31,97,3
pg3_2,4,pg_im,pg_el,1,GERMINATED,True,17.0,97.0,81,16,97,1
pg3_2,5,pg_im,pg_el,1,GERMINATED,True,21.0,97.0,77,20,97,1
pg3_2,6,pg_im,pg_el,1,GERMINATED,True,26.0,97.0,72,25,97,1
pg3_2,7,pg_im,pg_el,1,GERMINATED,True,37.0,97.0,61,36,97,1
pg3_2,8,pg_im,pg_el,1,GERMINATED,True,27.0,97.0,71,26,97,1
pg3_2,9,pg_im,pg_el,1,GERMINATED,True,12.0,97.0,86,11,97,1
pg3_3,0,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg3_3,1,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg3_3,2,pg_im,pg_el,1,GERMINATED,True,33.0,97.0,65,32,97,1
pg3_3,3,pg_im,pg_el,1,GERMINATED,True,21.0,97.0,77,20,97,1
pg3_3,4,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg3_3,5,pg_im,pg_el,1,GERMINATED,True,64.0,97.0,34,63,97,1
pg3_3,6,pg_im,pg_el,1,GERMINATED,True,37.0,97.0,61,36,97,1
pg3_3,7,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg3_3,8,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg3_3,9,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg3_4,0,pg_im,pg_el,1,GERMINATED,True,20.0,97.0,78,19,97,1
pg3_4,1,pg_im,pg_el,1,GERMINATED,True,13.0,97.0,85,12,97,1
pg3_4,2,pg_im,pg_el,1,GERMINATED,True,26.0,97.0,72,25,97,1
pg3_4,3,pg_im,pg_el,1,GERMINATED,True,33.0,97.0,65,32,97,1
pg3_4,4,pg_im,pg_el,1,GERMINATED,True,16.0,97.0,82,15,97,1
pg3_4,5,pg_im,pg_el,1,GERMINATED,True,24.0,97.0,74,23,97,1
pg3_4,6,pg_im,pg_im,0,NON-GERMINATED,False,,,0,97,97,0
pg3_4,7,pg_im,pg_el,1,GERMINATED,True,30.0,97.0,68,29,97,1
pg3_4,8,pg_im,pg_el,1,GERMINATED,True,27.0,97.0,71,26,97,1
pg3_4,9,pg_im,pg_el,1,GERMINATED,True,36.0,97.0,62,35,97,1
pg3_5,0,pg_im,pg_el,1,GERMINATED,True,36.0,97.0,62,35,97,1
