group,frame,object_index,class,xmin,ymin,xmax,ymax,center_x,center_y,width,height
zm1_10,5,1,zm_im,311.0,89.0,388.0,170.0,349.5,129.5,77.0,81.0
zm1_10,5,2,zm_im,390.0,220.0,470.0,288.0,430.0,254.0,80.0,68.0
zm1_10,5,3,zm_im,514.0,291.0,579.0,367.0,546.5,329.0,65.0,76.0
zm1_10,5,4,zm_im,354.0,339.0,423.0,404.0,388.5,371.5,69.0,65.0
zm1_10,5,5,zm_im,232.0,208.0,298.0,283.0,265.0,245.5,66.0,75.0
zm1_10,5,6,zm_im,147.0,131.0,215.0,211.0,181.0,171.0,68.0,80.0
zm1_10,5,7,zm_im,206.0,316.0,279.0,397.0,242.5,356.5,73.0,81.0
zm1_10,5,8,zm_im,397.0,457.0,474.0,516.0,435.5,486.5,77.0,59.0
zm1_10,5,9,zm_im,234.0,424.0,319.0,499.0,276.5,461.5,85.0,75.0
zm1_10,5,10,zm_im,95.0,318.0,183.0,381.0,139.0,349.5,88.0,63.0
zm1_10,6,1,zm_im,311.0,89.0,388.0,170.0,349.5,129.5,77.0,81.0
zm1_10,6,2,zm_im,391.0,220.0,470.0,288.0,430.5,254.0,79.0,68.0
zm1_10,6,3,zm_im,514.0,292.0,579.0,368.0,546.5,330.0,65.0,76.0
zm1_10,6,4,zm_im,354.0,339.0,423.0,404.0,388.5,371.5,69.0,65.0
zm1_10,6,5,zm_im,232.0,208.0,298.0,283.0,265.0,245.5,66.0,75.0
zm1_10,6,6,zm_im,147.0,131.0,215.0,212.0,181.0,171.5,68.0,81.0
zm1_10,6,7,zm_im,206.0,316.0,279.0,397.0,242.5,356.5,73.0,81.0
zm1_10,6,8,zm_im,397.0,457.0,474.0,516.0,435.5,486.5,77.0,59.0
zm1_10,6,9,zm_im,234.0,424.0,319.0,499.0,276.5,461.5,85.0,75.0
zm1_10,6,10,zm_im,95.0,318.0,183.0,381.0,139.0,349.5,88.0,63.0
zm1_10,7,1,zm_im,311.0,89.0,388.0,170.0,349.5,129.5,77.0,81.0
zm1_10,7,2,zm_im,391.0,220.0,470.0,288.0,430.5,254.0,79.0,68.0
zm1_10,7,3,zm_im,514.0,292.0,580.0,368.0,547.0,330.0,66.0,76.0
zm1_10,7,4,zm_im,354.0,339.0,422.0,404.0,388.0,371.5,68.0,65.0
zm1_10,7,5,zm_im,232.0,208.0,298.0,283.0,265.0,245.5,66.0,75.0
zm1_10,7,6,zm_im,147.0,131.0,216.0,212.0,181.5,171.5,69.0,81.0
zm1_10,7,7,zm_im,206.0,316.0,279.0,398.0,242.5,357.0,73.0,82.0
zm1_10,7,8,zm_im,397.0,457.0,474.0,517.0,435.5,487.0,77.0,60.0
zm1_10,7,9,zm_im,234.0,424.0,319.0,499.0,276.5,461.5,85.0,75.0
zm1_10,7,10,zm_im,95.0,318.0,183.0,381.0,139.0,349.5,88.0,63.0
zm1_10,8,1,zm_im,311.0,89.0,388.0,170.0,349.5,129.5,77.0,81.0
zm1_10,8,2,zm_im,391.0,220.0,470.0,288.0,430.5,254.0,79.0,68.0
zm1_10,8,3,zm_im,514.0,293.0,580.0,369.0,547.0,331.0,66.0,76.0
zm1_10,8,4,zm_im,354.0,339.0,422.0,404.0,388.0,371.5,68.0,65.0
zm1_10,8,5,zm_im,232.0,208.0,298.0,283.0,265.0,245.5,66.0,75.0
zm1_10,8,6,zm_im,147.0,131.0,216.0,213.0,181.5,172.0,69.0,82.0
zm1_10,8,7,zm_im,206.0,316.0,279.0,398.0,242.5,357.0,73.0,82.0
zm1_10,8,8,zm_im,397.0,457.0,475.0,517.0,436.0,487.0,78.0,60.0
zm1_10,8,9,zm_im,233.0,424.0,319.0,499.0,276.0,461.5,86.0,75.0
zm1_10,8,10,zm_im,95.0,318.0,183.0,381.0,139.0,349.5,88.0,63.0
zm1_10,9,1,zm_im,311.0,89.0,388.0,170.0,349.5,129.5,77.0,81.0
zm1_10,9,2,zm_im,391.0,220.0,470.0,288.0,430.5,254.0,79.0,68.0
zm1_10,9,3,zm_im,514.0,293.0,580.0,369.0,547.0,331.0,66.0,76.0
zm1_10,9,4,zm_im,354.0,338.0,422.0,404.0,388.0,371.0,68.0,66.0
zm1_10,9,5,zm_im,232.0,209.0,298.0,283.0,265.0,246.0,66.0,74.0
zm1_10,9,6,zm_im,147.0,131.0,216.0,213.0,181.5,172.0,69.0,82.0
zm1_10,9,7,zm_im,206.0,316.0,280.0,398.0,243.0,357.0,74.0,82.0
zm1_10,9,8,zm_im,397.0,457.0,475.0,517.0,436.0,487.0,78.0,60.0
zm1_10,9,9,zm_im,233.0,424.0,319.0,499.0,276.0,461.5,86.0,75.0
zm1_10,9,10,zm_im,95.0,318.0,183.0,381.0,139.0,349.5,88.0,63.0
zm1_10,10,1,zm_im,311.0,89.0,388.0,170.0,349.5,129.5,77.0,81.0
zm1_10,10,2,zm_im,391.0,220.0,470.0,288.0,430.5,254.0,79.0,68.0
zm1_10,10,3,zm_im,514.0,294.0,581.0,370.0,547.5,332.0,67.0,76.0
zm1_10,10,4,zm_im,354.0,338.0,422.0,404.0,388.0,371.0,68.0,66.0
zm1_10,10,5,zm_im,232.0,209.0,298.0,284.0,265.0,246.5,66.0,75.0
zm1_10,10,6,zm_im,147.0,130.0,216.0,213.0,181.5,171.5,69.0,83.0
zm1_10,10,7,zm_im,206.0,316.0,280.0,398.0,243.0,357.0,74.0,82.0
zm1_10,10,8,zm_im,397.0,457.0,475.0,518.0,436.0,487.5,78.0,61.0
zm1_10,10,9,zm_im,233.0,424.0,319.0,499.0,276.0,461.5,86.0,75.0
zm1_10,10,10,zm_im,95.0,318.0,183.0,381.0,139.0,349.5,88.0,63.0
zm1_10,11,1,zm_im,311.0,89.0,388.0,170.0,349.5,129.5,77.0,81.0
zm1_10,11,2,zm_im,391.0,220.0,470.0,288.0,430.5,254.0,79.0,68.0
zm1_10,11,3,zm_im,513.0,294.0,581.0,370.0,547.0,332.0,68.0,76.0
zm1_10,11,4,zm_im,354.0,338.0,422.0,405.0,388.0,371.5,68.0,67.0
zm1_10,11,5,zm_im,232.0,209.0,298.0,284.0,265.0,246.5,66.0,75.0
zm1_10,11,6,zm_im,147.0,130.0,216.0,214.0,181.5,172.0,69.0,84.0
zm1_10,11,7,zm_im,206.0,316.0,280.0,398.0,243.0,357.0,74.0,82.0
zm1_10,11,8,zm_im,397.0,457.0,475.0,518.0,436.0,487.5,78.0,61.0
zm1_10,11,9,zm_im,233.0,424.0,319.0,499.0,276.0,461.5,86.0,75.0
zm1_10,11,10,zm_im,95.0,318.0,183.0,381.0,139.0,349.5,88.0,63.0
zm1_10,12,1,zm_im,311.0,88.0,388.0,170.0,349.5,129.0,77.0,82.0
zm1_10,12,2,zm_im,391.0,220.0,470.0,288.0,430.5,254.0,79.0,68.0
zm1_10,12,3,zm_im,513.0,294.0,581.0,370.0,547.0,332.0,68.0,76.0
zm1_10,12,4,zm_im,354.0,338.0,422.0,405.0,388.0,371.5,68.0,67.0
zm1_10,12,5,zm_im,232.0,209.0,298.0,284.0,265.0,246.5,66.0,75.0
zm1_10,12,6,zm_im,147.0,130.0,216.0,214.0,181.5,172.0,69.0,84.0
zm1_10,12,7,zm_im,206.0,316.0,280.0,398.0,243.0,357.0,74.0,82.0
zm1_10,12,8,zm_im,397.0,457.0,475.0,518.0,436.0,487.5,78.0,61.0
zm1_10,12,9,zm_im,233.0,424.0,319.0,499.0,276.0,461.5,86.0,75.0
zm1_10,12,10,zm_im,95.0,317.0,183.0,381.0,139.0,349.0,88.0,64.0
zm1_10,13,1,zm_im,311.0,88.0,388.0,170.0,349.5,129.0,77.0,82.0
zm1_10,13,2,zm_im,391.0,220.0,470.0,288.0,430.5,254.0,79.0,68.0
zm1_10,13,3,zm_im,513.0,294.0,581.0,370.0,547.0,332.0,68.0,76.0
zm1_10,13,4,zm_im,354.0,338.0,422.0,405.0,388.0,371.5,68.0,67.0
zm1_10,13,5,zm_im,232.0,209.0,298.0,284.0,265.0,246.5,66.0,75.0
zm1_10,13,6,zm_im,147.0,130.0,216.0,214.0,181.5,172.0,69.0,84.0
zm1_10,13,7,zm_im,206.0,316.0,280.0,399.0,243.0,357.5,74.0,83.0
zm1_10,13,8,zm_im,397.0,457.0,475.0,518.0,436.0,487.5,78.0,61.0
zm1_10,13,9,zm_im,233.0,424.0,319.0,499.0,276.0,461.5,86.0,75.0
zm1_10,13,10,zm_im,95.0,317.0,183.0,381.0,139.0,349.0,88.0,64.0
zm1_10,14,1,zm_im,311.0,88.0,388.0,170.0,349.5,129.0,77.0,82.0
zm1_10,14,2,zm_im,391.0,220.0,470.0,289.0,430.5,254.5,79.0,69.0
zm1_10,14,3,zm_im,513.0,294.0,581.0,370.0,547.0,332.0,68.0,76.0
zm1_10,14,4,zm_im,354.0,338.0,422.0,405.0,388.0,371.5,68.0,67.0
zm1_10,14,5,zm_im,232.0,209.0,298.0,284.0,265.0,246.5,66.0,75.0
zm1_10,14,6,zm_im,147.0,130.0,216.0,214.0,181.5,172.0,69.0,84.0
zm1_10,14,7,zm_im,206.0,316.0,280.0,399.0,243.0,357.5,74.0,83.0
zm1_10,14,8,zm_im,397.0,457.0,475.0,519.0,436.0,488.0,78.0,62.0
zm1_10,14,9,zm_im,233.0,424.0,319.0,499.0,276.0,461.5,86.0,75.0
zm1_10,14,10,zm_im,95.0,317.0,183.0,381.0,139.0,349.0,88.0,64.0
zm1_10,15,1,zm_im,310.0,88.0,388.0,170.0,349.0,129.0,78.0,82.0
zm1_10,15,2,zm_im,391.0,220.0,470.0,289.0,430.5,254.5,79.0,69.0
zm1_10,15,3,zm_im,513.0,294.0,581.0,370.0,547.0,332.0,68.0,76.0
zm1_10,15,4,zm_im,354.0,338.0,422.0,405.0,388.0,371.5,68.0,67.0
zm1_10,15,5,zm_im,232.0,209.0,298.0,284.0,265.0,246.5,66.0,75.0
zm1_10,15,6,zm_im,147.0,130.0,216.0,214.0,181.5,172.0,69.0,84.0
zm1_10,15,7,zm_im,206.0,316.0,280.0,399.0,243.0,357.5,74.0,83.0
zm1_10,15,8,zm_im,397.0,457.0,475.0,519.0,436.0,488.0,78.0,62.0
zm1_10,15,9,zm_im,233.0,424.0,319.0,499.0,276.0,461.5,86.0,75.0
zm1_10,15,10,zm_im,95.0,317.0,183.0,381.0,139.0,349.0,88.0,64.0
zm1_10,16,1,zm_im,310.0,88.0,388.0,170.0,349.0,129.0,78.0,82.0
zm1_10,16,2,zm_im,391.0,220.0,470.0,289.0,430.5,254.5,79.0,69.0
zm1_10,16,3,zm_im,513.0,294.0,581.0,371.0,547.0,332.5,68.0,77.0
zm1_10,16,4,zm_im,354.0,338.0,422.0,405.0,388.0,371.5,68.0,67.0
zm1_10,16,5,zm_im,232.0,209.0,298.0,284.0,265.0,246.5,66.0,75.0
zm1_10,16,6,zm_im,147.0,130.0,216.0,214.0,181.5,172.0,69.0,84.0
zm1_10,16,7,zm_im,206.0,316.0,280.0,399.0,243.0,357.5,74.0,83.0
zm1_10,16,8,zm_im,397.0,457.0,475.0,519.0,436.0,488.0,78.0,62.0
zm1_10,16,9,zm_im,233.0,424.0,319.0,499.0,276.0,461.5,86.0,75.0
zm1_10,16,10,zm_im,95.0,317.0,183.0,381.0,139.0,349.0,88.0,64.0
zm1_10,17,1,zm_im,310.0,88.0,388.0,170.0,349.0,129.0,78.0,82.0
zm1_10,17,2,zm_im,391.0,220.0,470.0,289.0,430.5,254.5,79.0,69.0
zm1_10,17,3,zm_im,513.0,294.0,581.0,371.0,547.0,332.5,68.0,77.0
zm1_10,17,4,zm_im,354.0,338.0,422.0,405.0,388.0,371.5,68.0,67.0
zm1_10,17,5,zm_im,232.0,209.0,298.0,284.0,265.0,246.5,66.0,75.0
zm1_10,17,6,zm_im,147.0,130.0,216.0,214.0,181.5,172.0,69.0,84.0
zm1_10,17,7,zm_im,206.0,316.0,280.0,399.0,243.0,357.5,74.0,83.0
zm1_10,17,8,zm_im,397.0,457.0,475.0,519.0,436.0,488.0,78.0,62.0
zm1_10,17,9,zm_im,233.0,424.0,319.0,499.0,276.0,461.5,86.0,75.0
zm1_10,17,10,zm_im,95.0,317.0,183.0,381.0,139.0,349.0,88.0,64.0
zm1_10,18,1,zm_im,310.0,88.0,388.0,170.0,349.0,129.0,78.0,82.0
zm1_10,18,2,zm_im,391.0,220.0,470.0,289.0,430.5,254.5,79.0,69.0
zm1_10,18,3,zm_im,513.0,294.0,581.0,371.0,547.0,332.5,68.0,77.0
zm1_10,18,4,zm_im,354.0,338.0,422.0,405.0,388.0,371.5,68.0,67.0
zm1_10,18,5,zm_im,232.0,209.0,298.0,284.0,265.0,246.5,66.0,75.0
zm1_10,18,6,zm_im,147.0,130.0,216.0,214.0,181.5,172.0,69.0,84.0
zm1_10,18,7,zm_im,205.0,316.0,280.0,399.0,242.5,357.5,75.0,83.0
zm1_10,18,8,zm_im,397.0,457.0,475.0,519.0,436.0,488.0,78.0,62.0
zm1_10,18,9,zm_im,233.0,424.0,319.0,499.0,276.0,461.5,86.0,75.0
zm1_10,18,10,zm_im,95.0,317.0,183.0,381.0,139.0,349.0,88.0,64.0
zm1_10,19,1,zm_im,310.0,88.0,388.0,170.0,349.0,129.0,78.0,82.0
zm1_10,19,2,zm_im,391.0,220.0,470.0,289.0,430.5,254.5,79.0,69.0
zm1_10,19,3,zm_im,513.0,294.0,581.0,371.0,547.0,332.5,68.0,77.0
zm1_10,19,4,zm_im,354.0,338.0,422.0,405.0,388.0,371.5,68.0,67.0
zm1_10,19,5,zm_im,232.0,209.0,298.0,284.0,265.0,246.5,66.0,75.0
zm1_10,19,6,zm_im,147.0,130.0,216.0,214.0,181.5,172.0,69.0,84.0
zm1_10,19,7,zm_im,205.0,316.0,280.0,399.0,242.5,357.5,75.0,83.0
zm1_10,19,8,zm_im,397.0,457.0,475.0,519.0,436.0,488.0,78.0,62.0
zm1_10,19,9,zm_im,233.0,424.0,319.0,499.0,276.0,461.5,86.0,75.0
zm1_10,19,10,zm_im,95.0,316.0,183.0,381.0,139.0,348.5,88.0,65.0
zm1_10,20,1,zm_im,310.0,88.0,388.0,170.0,349.0,129.0,78.0,82.0
zm1_10,20,2,zm_im,391.0,220.0,470.0,289.0,430.5,254.5,79.0,69.0
zm1_10,20,3,zm_im,513.0,294.0,581.0,371.0,547.0,332.5,68.0,77.0
zm1_10,20,4,zm_im,354.0,338.0,422.0,405.0,388.0,371.5,68.0,67.0
zm1_10,20,5,zm_im,232.0,209.0,298.0,284.0,265.0,246.5,66.0,75.0
zm1_10,20,6,zm_im,147.0,130.0,216.0,215.0,181.5,172.5,69.0,85.0
zm1_10,20,7,zm_im,205.0,316.0,280.0,399.0,242.5,357.5,75.0,83.0
zm1_10,20,8,zm_im,397.0,457.0,475.0,519.0,436.0,488.0,78.0,62.0
zm1_10,20,9,zm_im,233.0,424.0,319.0,499.0,276.0,461.5,86.0,75.0
zm1_10,20,10,zm_im,95.0,316.0,183.0,381.0,139.0,348.5,88.0,65.0
zm1_10,21,1,zm_im,310.0,88.0,388.0,170.0,349.0,129.0,78.0,82.0
zm1_10,21,2,zm_im,391.0,220.0,470.0,289.0,430.5,254.5,79.0,69.0
zm1_10,21,3,zm_im,513.0,294.0,582.0,371.0,547.5,332.5,69.0,77.0
zm1_10,21,4,zm_im,354.0,338.0,422.0,405.0,388.0,371.5,68.0,67.0
zm1_10,21,5,zm_im,232.0,209.0,298.0,284.0,265.0,246.5,66.0,75.0
zm1_10,21,6,zm_im,147.0,130.0,216.0,215.0,181.5,172.5,69.0,85.0
zm1_10,21,7,zm_im,205.0,316.0,280.0,399.0,242.5,357.5,75.0,83.0
zm1_10,21,8,zm_im,397.0,457.0,475.0,519.0,436.0,488.0,78.0,62.0
zm1_10,21,9,zm_im,233.0,424.0,319.0,499.0,276.0,461.5,86.0,75.0
zm1_10,21,10,zm_im,95.0,316.0,183.0,381.0,139.0,348.5,88.0,65.0
zm1_10,22,1,zm_im,310.0,88.0,388.0,170.0,349.0,129.0,78.0,82.0
zm1_10,22,2,zm_im,391.0,220.0,470.0,289.0,430.5,254.5,79.0,69.0
zm1_10,22,3,zm_im,513.0,294.0,582.0,371.0,547.5,332.5,69.0,77.0
zm1_10,22,4,zm_im,354.0,338.0,422.0,405.0,388.0,371.5,68.0,67.0
zm1_10,22,5,zm_im,232.0,209.0,298.0,284.0,265.0,246.5,66.0,75.0
zm1_10,22,6,zm_im,147.0,130.0,216.0,215.0,181.5,172.5,69.0,85.0
zm1_10,22,7,zm_im,205.0,316.0,280.0,399.0,242.5,357.5,75.0,83.0
zm1_10,22,8,zm_im,397.0,457.0,475.0,519.0,436.0,488.0,78.0,62.0
zm1_10,22,9,zm_im,233.0,424.0,319.0,499.0,276.0,461.5,86.0,75.0
zm1_10,22,10,zm_im,95.0,316.0,183.0,381.0,139.0,348.5,88.0,65.0
zm1_10,23,1,zm_im,310.0,88.0,388.0,170.0,349.0,129.0,78.0,82.0
zm1_10,23,2,zm_im,391.0,220.0,470.0,290.0,430.5,255.0,79.0,70.0
zm1_10,23,3,zm_im,513.0,294.0,582.0,371.0,547.5,332.5,69.0,77.0
zm1_10,23,4,zm_im,353.0,338.0,422.0,405.0,387.5,371.5,69.0,67.0
zm1_10,23,5,zm_im,232.0,209.0,298.0,284.0,265.0,246.5,66.0,75.0
zm1_10,23,6,zm_im,147.0,130.0,216.0,215.0,181.5,172.5,69.0,85.0
zm1_10,23,7,zm_im,205.0,316.0,280.0,399.0,242.5,357.5,75.0,83.0
zm1_10,23,8,zm_im,397.0,457.0,475.0,519.0,436.0,488.0,78.0,62.0
zm1_10,23,9,zm_im,233.0,424.0,319.0,499.0,276.0,461.5,86.0,75.0
zm1_10,23,10,zm_im,95.0,316.0,183.0,381.0,139.0,348.5,88.0,65.0
zm1_10,24,1,zm_im,310.0,88.0,388.0,170.0,349.0,129.0,78.0,82.0
zm1_10,24,2,zm_im,391.0,219.0,470.0,290.0,430.5,254.5,79.0,71.0
zm1_10,24,3,zm_im,513.0,294.0,582.0,372.0,547.5,333.0,69.0,78.0
zm1_10,24,4,zm_im,353.0,338.0,422.0,405.0,387.5,371.5,69.0,67.0
zm1_10,24,5,zm_im,232.0,209.0,299.0,284.0,265.5,246.5,67.0,75.0
zm1_10,24,6,zm_im,147.0,130.0,216.0,215.0,181.5,172.5,69.0,85.0
zm1_10,24,7,zm_im,205.0,316.0,280.0,399.0,242.5,357.5,75.0,83.0
zm1_10,24,8,zm_im,397.0,456.0,475.0,519.0,436.0,487.5,78.0,63.0
zm1_10,24,9,zm_im,233.0,424.0,319.0,499.0,276.0,461.5,86.0,75.0
zm1_10,24,10,zm_im,95.0,316.0,183.0,381.0,139.0,348.5,88.0,65.0
zm1_10,25,1,zm_im,310.0,88.0,388.0,170.0,349.0,129.0,78.0,82.0
zm1_10,25,2,zm_im,391.0,219.0,470.0,290.0,430.5,254.5,79.0,71.0
zm1_10,25,3,zm_im,513.0,294.0,582.0,372.0,547.5,333.0,69.0,78.0
zm1_10,25,4,zm_im,353.0,338.0,422.0,405.0,387.5,371.5,69.0,67.0
zm1_10,25,5,zm_im,232.0,209.0,299.0,284.0,265.5,246.5,67.0,75.0
zm1_10,25,6,zm_im,147.0,130.0,216.0,215.0,181.5,172.5,69.0,85.0
zm1_10,25,7,zm_im,205.0,316.0,280.0,399.0,242.5,357.5,75.0,83.0
zm1_10,25,8,zm_im,397.0,456.0,475.0,519.0,436.0,487.5,78.0,63.0
zm1_10,25,9,zm_im,233.0,424.0,319.0,499.0,276.0,461.5,86.0,75.0
zm1_10,25,10,zm_im,95.0,316.0,183.0,381.0,139.0,348.5,88.0,65.0
zm1_10,26,1,zm_im,309.0,87.0,388.0,170.0,348.5,128.5,79.0,83.0
zm1_10,26,2,zm_im,391.0,219.0,470.0,290.0,430.5,254.5,79.0,71.0
zm1_10,26,3,zm_im,513.0,294.0,582.0,372.0,547.5,333.0,69.0,78.0
zm1_10,26,4,zm_im,353.0,338.0,422.0,405.0,387.5,371.5,69.0,67.0
zm1_10,26,5,zm_im,232.0,209.0,299.0,284.0,265.5,246.5,67.0,75.0
zm1_10,26,6,zm_im,147.0,130.0,216.0,215.0,181.5,172.5,69.0,85.0
zm1_10,26,7,zm_im,205.0,316.0,280.0,399.0,242.5,357.5,75.0,83.0
zm1_10,26,8,zm_im,396.0,456.0,475.0,519.0,435.5,487.5,79.0,63.0
zm1_10,26,9,zm_im,233.0,424.0,319.0,499.0,276.0,461.5,86.0,75.0
zm1_10,26,10,zm_im,95.0,316.0,183.0,381.0,139.0,348.5,88.0,65.0
zm1_10,27,1,zm_im,309.0,87.0,388.0,170.0,348.5,128.5,79.0,83.0
zm1_10,27,2,zm_im,391.0,219.0,470.0,290.0,430.5,254.5,79.0,71.0
zm1_10,27,3,zm_im,513.0,294.0,582.0,372.0,547.5,333.0,69.0,78.0
zm1_10,27,4,zm_im,353.0,338.0,422.0,405.0,387.5,371.5,69.0,67.0
zm1_10,27,5,zm_im,232.0,209.0,299.0,284.0,265.5,246.5,67.0,75.0
zm1_10,27,6,zm_im,147.0,130.0,216.0,215.0,181.5,172.5,69.0,85.0
zm1_10,27,7,zm_im,205.0,316.0,280.0,399.0,242.5,357.5,75.0,83.0
zm1_10,27,8,zm_im,396.0,456.0,475.0,519.0,435.5,487.5,79.0,63.0
zm1_10,27,9,zm_im,233.0,424.0,319.0,499.0,276.0,461.5,86.0,75.0
zm1_10,27,10,zm_im,95.0,316.0,183.0,381.0,139.0,348.5,88.0,65.0
zm1_10,28,1,zm_im,309.0,87.0,388.0,170.0,348.5,128.5,79.0,83.0
zm1_10,28,2,zm_im,392.0,219.0,470.0,290.0,431.0,254.5,78.0,71.0
zm1_10,28,3,zm_im,513.0,294.0,582.0,372.0,547.5,333.0,69.0,78.0
zm1_10,28,4,zm_im,353.0,338.0,422.0,405.0,387.5,371.5,69.0,67.0
zm1_10,28,5,zm_im,232.0,209.0,299.0,284.0,265.5,246.5,67.0,75.0
zm1_10,28,6,zm_im,147.0,130.0,216.0,215.0,181.5,172.5,69.0,85.0
zm1_10,28,7,zm_im,205.0,316.0,280.0,399.0,242.5,357.5,75.0,83.0
zm1_10,28,8,zm_im,396.0,456.0,475.0,519.0,435.5,487.5,79.0,63.0
zm1_10,28,9,zm_im,233.0,424.0,319.0,499.0,276.0,461.5,86.0,75.0
zm1_10,28,10,zm_im,94.0,316.0,183.0,381.0,138.5,348.5,89.0,65.0
zm1_10,29,1,zm_im,309.0,87.0,388.0,170.0,348.5,128.5,79.0,83.0
zm1_10,29,2,zm_im,392.0,219.0,470.0,290.0,431.0,254.5,78.0,71.0
zm1_10,29,3,zm_im,513.0,294.0,582.0,372.0,547.5,333.0,69.0,78.0
zm1_10,29,4,zm_im,353.0,338.0,422.0,405.0,387.5,371.5,69.0,67.0
zm1_10,29,5,zm_im,232.0,209.0,299.0,284.0,265.5,246.5,67.0,75.0
zm1_10,29,6,zm_im,147.0,130.0,216.0,215.0,181.5,172.5,69.0,85.0
zm1_10,29,7,zm_im,205.0,316.0,280.0,399.0,242.5,357.5,75.0,83.0
zm1_10,29,8,zm_im,396.0,456.0,475.0,519.0,435.5,487.5,79.0,63.0
zm1_10,29,9,zm_im,233.0,424.0,319.0,499.0,276.0,461.5,86.0,75.0
zm1_10,29,10,zm_im,94.0,316.0,183.0,381.0,138.5,348.5,89.0,65.0
zm1_10,30,1,zm_im,309.0,87.0,388.0,170.0,348.5,128.5,79.0,83.0
zm1_10,30,2,zm_im,392.0,219.0,470.0,290.0,431.0,254.5,78.0,71.0
zm1_10,30,3,zm_im,514.0,294.0,582.0,372.0,548.0,333.0,68.0,78.0
zm1_10,30,4,zm_im,353.0,338.0,422.0,405.0,387.5,371.5,69.0,67.0
zm1_10,30,5,zm_im,232.0,209.0,299.0,284.0,265.5,246.5,67.0,75.0
zm1_10,30,6,zm_im,147.0,130.0,216.0,215.0,181.5,172.5,69.0,85.0
